species	MGI	UniProtKB	gene	ID
MOUSE	2442551	Q99KR3	Beta-lactamase-like protein 2	Lactb2
MOUSE	1338761	O35348	Acetylcholinesterase collagenic tail peptide	Colq
MOUSE	104688	Q9QZS0	Collagen alpha-3(IV) chain	Col4a3
MOUSE	2385160	Q3UQ05	Protein Bpifb5	Bpifb5
MOUSE	2159682	Q8VIM0	Hepatitis A virus cellular receptor 2 homolog	Havcr2
MOUSE	1920940	Q9CWG1	Glioma pathogenesis-related protein 1	Glipr1
MOUSE	1861231	Q9JKF4	C-type lectin domain family 6 member A	Clec6a
MOUSE	102702	Q61450	Mast cell surface glycoprotein Gp49A	Gp49a
MOUSE	1922595	Q8BHK6	SLAM family member 7	Slamf7
MOUSE	103011	P47774	C-C chemokine receptor type 7	Ccr7
MOUSE	5142012	B8JJN0	Protein Gm20547	Gm20547
MOUSE	104859	Q63836	Selenium-binding protein 2	Selenbp2
MOUSE	2662547	Q8CJC7	Protein Klre1	Klre1
MOUSE	2159680	Q5QNS5	Hepatitis A virus cellular receptor 1 homolog	Havcr1
MOUSE	1858306	Q9R0M3	Sushi-repeat-containing protein SRPX	Srpx
MOUSE	107166	P41588	Vasoactive intestinal polypeptide receptor 2	Vipr2
MOUSE	1339755	P40223	Granulocyte colony-stimulating factor receptor	Csf3r
MOUSE	99572	Q61606	Glucagon receptor	Gcgr
MOUSE	95710	P32082	Growth hormone-releasing hormone receptor	Ghrhr
MOUSE	102701	Q64281	Leukocyte immunoglobulin-like receptor subfamily B member 4	Lilrb4
MOUSE	1098243	O35664	Interferon alpha/beta receptor 2	Ifnar2
MOUSE	88081	P34927	Asialoglycoprotein receptor 1	Asgr1
MOUSE	2665114	Q80XF5	Interleukin-22 receptor subunit alpha-2	Il22ra2
MOUSE	104753	Q810U3	Neurofascin	Nfasc
MOUSE	2180565	Q8JZW8	Paraneoplastic antigen Ma3 homolog	Pnma3
MOUSE	1341890	O88532	Zinc finger RNA-binding protein	Zfr
MOUSE	1861032	Q9JI58	Retinoic acid early-inducible protein 1-delta	Raet1d
MOUSE	1859670	Q8R0T6	Probable G-protein coupled receptor 97	Gpr97
MOUSE	3026884	Q8C186	BPI fold-containing family C protein	Bpifc
MOUSE	1309998	Q60754	Macrophage receptor MARCO	Marco
MOUSE	88512	P14847	C-reactive protein	Crp
MOUSE	95936	P14429	"H-2 class I histocompatibility antigen, Q7 alpha chain"	H2-Q7
MOUSE	1270861	P97378	Interleukin-12 receptor subunit beta-2	Il12rb2
MOUSE	2180021	Q8VBX4	C-type lectin domain family 4 member K	Cd207
MOUSE	1926446	Q9EP73	Programmed cell death 1 ligand 1	Cd274
MOUSE	2685920	Q8C634	C-type lectin-like receptor 2m	4922502D21Rik
MOUSE	2681107	Q920G3	Sialic acid-binding Ig-like lectin 5	Siglec5
MOUSE	1923481	Q3V1M1	Immunoglobulin superfamily member 10	Igsf10
MOUSE	1351612	Q9WTL0	Beta-defensin 3	Defb3
MOUSE	2180849	Q8VI94	2'-5'-oligoadenylate synthase-like protein 1	Oasl1
MOUSE	2179988	Q8HWE7	MCG58238	Mill1
MOUSE	88458	Q3U962	Collagen alpha-2(V) chain	Col5a2
MOUSE	1920399	Q8JZX6	"C-type lectin domain family 4, member a3"	Clec4a3
MOUSE	95913	F7CXU4	"Histocompatibility 2, M region locus 1"	H2-M1
MOUSE	2180511	Q8K5B1	Interleukin-31 receptor subunit alpha	Il31ra
MOUSE	88346	P01731	T-cell surface glycoprotein CD8 alpha chain	Cd8a
MOUSE	109431	O08604	Retinoic acid early-inducible protein 1-gamma	Raet1c
MOUSE	2179720	Q8VBT3	Osteoclast-associated immunoglobulin-like receptor	Oscar
MOUSE	98938	D3Z6J4	Protein Vpreb3	Vpreb3
MOUSE	1098282	P06683	Complement component C9	C9
MOUSE	88331	P04235	T-cell surface glycoprotein CD3 delta chain	Cd3d
MOUSE	1276522	O19443	"Histocompatibility 2, M region locus 10.1"	H2-M10.1
MOUSE	1913579	Q9D176	Sushi domain-containing protein 3	Susd3
MOUSE	2443902	Q2VWQ2	Protein kinase C-binding protein NELL1	Nell1
MOUSE	2672118	Q5QNQ9	Collagen alpha-1(XXVII) chain	Col27a1
MOUSE	1203290	O88174	Membrane cofactor protein	Cd46
MOUSE	3051647	E9PZ87	Protein Pappa2	Pappa2
MOUSE	1098266	P70232	Neural cell adhesion molecule L1-like protein	Chl1
MOUSE	2181693	Q8K4B4	Interleukin-23 receptor	Il23r
MOUSE	1916151	Q6F3F9	G-protein coupled receptor 126	Gpr126
MOUSE	107655	P15261	Interferon gamma receptor 1	Ifngr1
MOUSE	1925027	Q8HWA3	Protein Ulbp1	Ulbp1
